id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
1,Brahmāstra Part One: Shiva,"A journey of fantasy, action and romance comes to life as Shiva enters the Astraverse! He discovers true love and also, the power of fire within him.",,,0 days 02:48:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
2,Govinda Naam Mera,"Wedged between a court case, a bad marriage and his girlfriend, Govinda Waghmare gets further entangled in incidents complicating his already tangled world.",,,0 days 02:11:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
3,Sita Ramam,"On a letter-delivering task, Afreen learns of a 20-year-old romance set amidst a war. Her quest to trace the lovers makes her embrace humanity beyond borders.",,,0 days 02:33:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
4,Ved,"Retreating from a failed romance, Satya drowns in alcoholism. But when he marries a neighbourhood girl Shravani, her unconditional love offers him redemption.",,,0 days 02:36:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
5,Selfiee,"RTO officer Om Prakash strikes a golden opportunity to meet his icon, Vijay Kumar. But when his love gets spurned by the superstar, a clash of egos ensues.",,,0 days 02:22:00,,2023-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
6,Liger - Saala Crossbreed,"A brave-hearted Liger works his way up to find his dream spot in the MMA world. But, his life gets complicated when he crosses paths with Taniya.",,,0 days 02:18:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
7,Shiddat,"Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding.",,,0 days 02:26:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
8,Kirtan,"For a better future, Manimala wishes to move to a modern house. But her grumpy father-in-law is too connected to the ancestral home. And this sparks a feud!",,,0 days 02:09:00,,2023-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
9,Cuttputlli,"When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy.",,,0 days 02:14:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
10,Vikram,A covert investigation changes its course when special officer Amar encounters an unrelenting Vikram and his pursuit to take down a notorious drug cartel.,,,0 days 02:51:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
11,Cadaver,A high-profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will police surgeon Bhadra crack this mystery?,,,0 days 01:59:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
12,Hum Do Hamare Do,Self-made man Dhruv and social media star Anya fall in love and decide to marry. Just one problem - he's an orphan. The only solution - make a fake family.,,,0 days 02:08:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
