title,description,start_to_end_time,rating,release_at,id,image_url,trailer_url,created_at,updated_at
Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,102.0,6.3,2014-08-20,1,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Interview,"Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",112.0,6.1,2014-12-25,2,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Gattaca,"Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",106.0,7.5,1997-09-07,3,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",86.0,7.6,1999-08-06,4,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",113.0,7.7,2001-01-18,5,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Dredd,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",95.0,6.6,2012-09-07,6,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Mortdecai,"Art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.",106.0,5.4,2015-01-21,7,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Warrior,"The inspirational story of an estranged family that finds redemption in the unlikeliest of places…the MMA ring. Tommy Riordan (Tom Hardy), an ex-marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for “Sparta”, the biggest MMA tournament ever held. But when Tommy’s underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart. What ensues is the most gut-wrenching, soul-stirring, and unforgettable battle of their lives.",140.0,7.7,2011-09-09,8,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Sunshine,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.",107.0,7.0,2007-04-05,9,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
In the Heart of the Sea,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",122.0,6.5,2015-11-20,10,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Pompeii,"Set in 79 A.D., POMPEII tells the epic story of Milo, a slave turned invincible gladiator who finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.",105.0,5.2,2014-02-18,11,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Automata,"Jacq Vaucan, an insurance agent of ROC robotics corporation, routinely investigates the case of manipulating a robot. What he discovers will have profound consequences for the future of humanity.",110.0,5.6,2014-10-09,12,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",229.0,8.2,1984-02-16,13,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",149.0,5.9,2013-07-03,14,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Before I Go to Sleep,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.",92.0,6.2,2014-09-03,15,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Insidious: Chapter 2,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,106.0,6.5,2013-09-12,16,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Pan,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",111.0,5.9,2015-09-24,17,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Wild Card,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.",92.0,5.4,2015-01-14,18,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
