id,title,description,start_to_end_time,rating,release_at,image_url,trailer_url
1,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.",0 days 02:32:00,9.0,2008-01-01,,
2,Inception,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",0 days 02:28:00,8.8,2010-01-01,,
3,The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",0 days 02:44:00,8.5,2012-01-01,,
4,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,0 days 02:49:00,8.6,2014-01-01,,
5,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,0 days 02:23:00,8.1,2012-01-01,,
6,Django Unchained,"With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",0 days 02:45:00,8.4,2012-01-01,,
7,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",0 days 02:33:00,8.3,2009-01-01,,
8,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,0 days 02:31:00,8.5,2006-01-01,,
9,Avatar,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,0 days 02:42:00,7.8,2009-01-01,,
10,The Prestige,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,0 days 02:10:00,8.5,2006-01-01,,
11,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",0 days 03:00:00,8.2,2013-01-01,,
12,Shutter Island,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",0 days 02:18:00,8.1,2010-01-01,,
13,WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",0 days 01:38:00,8.4,2008-01-01,,
14,Guardians of the Galaxy,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,0 days 02:01:00,8.1,2014-01-01,,
15,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",0 days 02:06:00,7.9,2008-01-01,,
16,The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,0 days 02:22:00,7.2,2012-01-01,,
17,Up,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",0 days 01:36:00,8.3,2009-01-01,,
18,Slumdog Millionaire,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",0 days 02:00:00,8.0,2008-01-01,,
19,The Hobbit: An Unexpected Journey,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",0 days 02:49:00,7.9,2012-01-01,,
20,Star Wars: Episode VII - The Force Awakens,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",0 days 02:16:00,8.1,2015-01-01,,
21,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,0 days 02:02:00,8.1,2007-01-01,,
22,300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,0 days 01:57:00,7.7,2006-01-01,,
23,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",0 days 02:29:00,8.1,2014-01-01,,
24,Mad Max: Fury Road,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",0 days 02:00:00,8.1,2015-01-01,,
25,Deadpool,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,0 days 01:48:00,8.0,2016-01-01,,
26,Gravity,Two astronauts work together to survive after an accident which leaves them alone in space.,0 days 01:31:00,7.8,2013-01-01,,
