id,title,description,release_at,rating
1,Little Singham - Black Shadow,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,2021,TV-Y7
2,Firedrake the Silver Dragon,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",2021,TV-Y7
3,The Loud House Movie,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!",2021,TV-Y7
4,Trollhunters: Rise of the Titans,"Heroes from ""Trollhunters,"" ""3Below"" and ""Wizards"" join forces to fight a shadowy enemy threatening to take over their worlds — and reset Earth itself.",2021,TV-Y7
5,Dog Gone Trouble,The privileged life of a pampered dog named Trouble is turned upside-down when he gets lost and must learn to survive on the big-city streets.,2021,TV-Y7
6,Little Singham Future mein Satakli,"Little Singham and his crew travel to the year 2050 to rescue kids from the evil rule of Junglee Joker, who has forbidden them from laughter or play!",2021,TV-Y7
7,Jungle Beat: The Movie,"When a lost and lonely alien crash-lands on Earth, his new crew of talking animal friends helps him get back home — and try to save the world!",2021,TV-Y7
8,Arlo the Alligator Boy,"To find the father he never knew, optimistic Arlo leaves his swampy Southern home for New York City, making friends along the way. A musical adventure.",2021,TV-Y7
9,The Last Kids on Earth: Happy Apocalypse to You,"Help Jack and his monster-battling friends make choices to stay alive — and have some fun — in this interactive ""Last Kids on Earth"" adventure!",2021,TV-Y7
10,Secret Magic Control Agency,"Hansel and Gretel of fairy tale fame — now acting as secret agents — must use magic, clever thinking and teamwork on a mission to find a missing king.",2021,TV-Y7
11,Bigfoot Family,"Bigfoot’s now a big deal. So when he goes missing, his shy but tech-savvy teen son must take on an evil CEO to save his family and a wildlife preserve.",2021,TV-Y7
12,Xico's Journey,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico.",2021,TV-Y7
13,Charming,"On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom.",2021,TV-Y7
14,Go! Go! Cory Carson: Chrissy Takes the Wheel,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021,TV-Y
15,A StoryBots Space Adventure,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021,TV-Y
16,Barbie Big City Big Dreams,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",2021,TV-Y
17,Super Monsters: Once Upon a Rhyme,"From Goldilocks to Hansel and Gretel, the Super Monsters reimagine classic fairy tales and favorite nursery rhymes with a musical, magical spin!",2021,TV-Y
18,Barbie & Chelsea: The Lost Birthday,"When Barbie’s sister Chelsea thinks her birthday has been skipped, she hunts for a magic gem on a jungle island that will grant her wish to get it back.",2021,TV-Y
19,Octonauts & the Ring of Fire,"When red-hot volcanoes start a chain reaction of disasters across the ocean, the Octonauts must work together to face their biggest challenge yet.",2021,TV-Y
20,Confessions of an Invisible Girl,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021,TV-PG
21,Nightbooks,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021,TV-PG
22,Afterlife of the Party,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,2021,TV-PG
23,Untold: Caitlyn Jenner,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.,2021,TV-PG
24,Monster Hunter: Legends of the Guild,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",2021,TV-PG
25,A Perfect Fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.",2021,TV-PG
26,Lift Like a Girl,"With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level.",2021,TV-PG
27,Day of Destiny,"With their family facing financial woes, two teen brothers seize an opportunity to reverse their bad fortunes by traveling 20 years back in time.",2021,TV-PG
28,Sarbath,"When a city man returns to his native village for his brother’s wedding, several unforeseen snags make his visit more eventful than anticipated.",2021,TV-PG
29,Breaking Boundaries: The Science Of Our Planet,David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.,2021,TV-PG
30,Blue Miracle,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",2021,TV-PG
31,Dolly Parton: A MusiCares Tribute,"In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year.",2021,TV-PG
32,7 Yards: The Chris Norton Story,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side.",2021,TV-PG
33,Marked,"This documentary explores Nigeria’s cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality.",2021,TV-PG
34,A Week Away,"In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp — and unexpectedly finds love, friends and a place to belong.",2021,TV-PG
35,Pagglait,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",2021,TV-PG
36,Geez & Ann,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles.",2021,TV-PG
37,Animals on the Loose: A You vs. Wild Movie,"When wild animals escape from a sanctuary, Bear Grylls — and you — must pursue them and secure their protective habitat. An interactive special.",2021,TV-PG
38,June & Kopi,"A street dog is taken in by a young couple, and the family pit becomes an instant accomplice as she adjusts to her new, loving home.",2021,TV-PG
39,Wish You,"Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.",2021,TV-PG
40,Je Suis Karl,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021,TV-MA
41,The Father Who Moves Mountains,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021,TV-MA
42,The Stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021,TV-MA
43,Prey,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,2021,TV-MA
44,JJ+E,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",2021,TV-MA
45,Untold: Breaking Point,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",2021,TV-MA
46,Untold: Crime & Penalties,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good.",2021,TV-MA
47,The River Runner,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",2021,TV-MA
48,Count Me In,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.,2021,TV-MA
49,The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",2021,TV-MA
50,Man in Love,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love.",2021,TV-MA
